ABC command line: "read /home/andrew/rust-formal-verification/tests/examples/hwmcc20/2019/mann/data-integrity/unsafe/circular_pointer_top_w16_d128_e0_zero_then_fold2.aig ; pdr -v".

VarMax = 300. FrameMax = 10000. QueMax = 0. TimeMax = 0. MonoCNF = no. SkipGen = no. SolveAll = no.
Frame Clauses                                                     Max Queue Flops Cex      Time
  1 : 0 1                                                                 1     1      0.02 sec
  2 : 0 22 87                                                             2   141      0.13 sec
  3 : 0 3 42 115                                                          2   157      0.27 sec
  4 : 0 3 38 137 224                                                      5   167      0.65 sec
  5 : 0 3 39 103 266 295                                                  5   184      1.26 sec
  6 : 0 3 38 102 188 451 450                                              7   196      2.38 sec
  7 : 0 3 38 102 185 293 588 436                                          8   212      3.63 sec
  8 : 0 3 38 102 185 255 516 924 1004                                    10   224      6.96 sec
  9 : 0 3 38 102 185 233 396 601 1310 781                                12   240      9.80 sec
 10 : 0 3 38 105 191 247 426 693 1136 2110 1788                          63   261     18.82 sec
 11 : 0 3 38 104 174 222 358 505 833 1434 1935 1001                      40   277     23.63 sec
 12 : 0 3 38 104 174 222 352 482 895 1372 1784 2961 2439                 24   293     39.40 sec
 13 : 0 3 38 104 173 221 351 485 900 1332 1767 2300 3589 1983            41   309     54.38 sec
 14 : ... 3 38 104 173 218 354 487 899 1358 1728 2496 3316 4332 3807     91   325     86.79 sec
 15 : ... 104 173 218 344 476 875 1221 1544 2226 2743 3186 4590 2504     73   341    105.88 sec
 16 : ... 173 218 344 476 875 1202 1604 2222 2752 3052 4506 5669 3368    79   357    147.12 sec
 17 : ... 342 465 871 1202 1539 2125 2649 2931 4276 4698 6719 4611       93   373    204.98 sec
 18 : ... 485 900 1244 1580 2091 2686 3012 4409 4787 6310 10142 6452    167   386    320.96 sec
 19 : ... 823 1082 1514 1888 2565 2567 3774 4432 5435 8545 11032 4996    61   402    420.45 sec
 20 : ... 1521 1922 2631 2682 3944 4435 5187 6897 9406 11308 5517       526   415    545.93 sec
slurmstepd-thanos5_4: error: *** JOB 76071 ON thanos5_4 CANCELLED AT 2022-12-27T19:11:27 DUE TO TIME LIMIT ***
