ABC command line: "read /home/andrew/rust-formal-verification/tests/examples/hwmcc20/2019/wolf/2019C/qspiflash_dualflexpress_divthree-p010_zero_then_fold2.aig ; pdr -v".

VarMax = 300. FrameMax = 10000. QueMax = 0. TimeMax = 0. MonoCNF = no. SkipGen = no. SolveAll = no.
Frame Clauses                                                     Max Queue Flops Cex      Time
  1 : 0 3                                                                 1     4      0.00 sec
  2 : 0 6 5                                                               2    20      0.00 sec
  3 : 0 4 7 16                                                            2    32      0.01 sec
  4 : 0 4 2 8 13                                                          3    34      0.01 sec
  5 : 0 6 10 22 50 72                                                    11    48      0.05 sec
  6 : 0 4 8 19 43 78 94                                                   5    48      0.10 sec
  7 : 0 4 8 19 34 61 95 102                                              13    50      0.16 sec
  8 : 0 4 8 18 34 56 62 54 82                                             6    50      0.18 sec
  9 : 0 4 8 19 37 70 83 120 173 216                                      30    53      0.45 sec
 10 : 0 4 8 17 39 64 60 69 93 161 154                                    16    53      0.52 sec
 11 : 0 4 8 16 40 61 61 80 113 171 138 189                               26    54      0.68 sec
 12 : 0 4 8 16 40 60 56 74 98 125 140 143 178                            13    54      0.79 sec
 13 : 0 4 8 16 43 69 71 82 107 119 117 167 145 197                       32    54      0.99 sec
 14 : 0 4 8 16 42 66 63 84 106 130 154 181 208 212 271                   36    54      1.37 sec
 15 : 0 4 8 15 43 56 59 55 96 116 136 182 230 201 264 379                35    54      1.83 sec
 16 : 0 4 8 15 43 55 60 53 86 106 102 133 162 149 195 253 342            16    54      2.04 sec
 17 : 0 4 7 15 44 55 60 53 78 113 134 167 195 199 230 267 247 336        25    57      2.54 sec
 18 : ... 7 15 44 55 60 53 78 108 127 179 210 230 254 280 345 384 426    54    57      3.22 sec
 19 : ... 15 44 55 60 53 78 85 88 126 148 195 233 293 329 426 401 432    28    67      3.90 sec
 20 : ... 55 60 53 78 85 90 132 153 211 269 320 371 429 425 442 433      42    70      4.69 sec
 21 : ... 60 56 78 83 88 117 128 165 188 217 353 374 372 427 410 387     37    70      5.34 sec
 22 : ... 56 78 84 91 123 139 188 214 266 419 484 590 602 632 597 613    40    77      7.14 sec
 23 : ... 78 79 72 77 92 141 175 202 274 448 438 422 337 432 489 474     16    77      7.70 sec
 24 : ... 79 72 78 95 152 196 242 320 508 545 556 457 535 579 475 512    43    82      9.21 sec
 25 : ... 79 91 139 173 226 280 464 481 493 409 377 345 434 415 491      42    82      9.95 sec
 26 : ... 91 139 168 211 261 474 538 563 454 456 368 356 442 447 578     38    91     11.68 sec
 27 : ... 138 172 215 264 443 518 553 490 456 402 387 393 456 514 608    46    91     13.27 sec
 28 : ... 183 210 252 444 485 523 475 430 379 382 372 342 397 502 589    62    91     14.57 sec
 29 : ... 191 240 440 479 515 455 432 373 363 353 300 315 393 515 606    33    91     15.89 sec
 30 : ... 256 446 485 529 480 460 415 390 404 375 314 376 525 471 545    85    91     17.75 sec
 31 : ... 319 378 394 368 391 376 360 342 320 255 257 326 534 536 598    46    91     19.18 sec
 32 : ... 410 441 405 455 413 433 423 404 347 361 401 417 560 684 644    56    91     21.38 sec
 33 : ... 329 343 387 337 394 364 370 355 349 371 333 365 609 568 752    49    91     23.32 sec
 34 : ... 333 354 315 355 343 355 343 336 379 353 332 387 444 682 722    47    91     24.86 sec
 35 : ... 392 349 393 393 401 370 379 380 376 368 410 414 538 643 741    58    93     27.03 sec
 36 : ... 315 342 330 366 327 341 359 345 335 348 336 406 589 603 727    44    93     28.81 sec
 37 : ... 364 376 425 389 448 416 456 474 494 518 556 658 714 751 739    70    98     32.54 sec
 38 : ... 329 371 342 346 332 370 363 406 397 429 486 392 494 769 819    56    98     34.52 sec
 39 : ... 460 444 440 436 483 451 500 506 523 627 544 621 784 773 774    72    99     38.44 sec
 40 : ... 396 379 396 429 423 460 484 477 557 486 525 636 781 851 857    66    99     42.52 sec
 41 : ... 388 383 413 395 457 464 476 562 470 478 538 527 832 745 936    86    99     45.90 sec
 42 : ... 420 424 437 464 458 480 516 439 492 529 452 403 529 723 968    88    99     49.17 sec
 43 : ... 445 434 492 519 538 593 539 607 644 584 526 647 910 827 867    90    99     54.35 sec
 44 : ... 416 430 479 495 424 531 554 538 449 444 419 557 759 1165       59    99     57.73 sec
 45 : ... 471 535 559 523 627 669 662 615 615 616 730 1013 1007 1101     96    99     63.27 sec
 46 : ... 437 452 367 480 512 456 443 448 464 540 476 729 801 1449       74    99     67.44 sec
 47 : ... 406 370 470 494 435 419 423 457 485 409 483 631 814 1323       68   100     70.13 sec
 48 : ... 435 520 547 477 476 459 487 531 469 548 524 783 786 1414       95   100     75.39 sec
 49 : ... 551 563 490 448 414 509 557 474 478 399 412 586 822 1488       97   100     80.24 sec
slurmstepd-thanos4: error: *** JOB 69166 ON thanos4 CANCELLED AT 2022-11-30T21:43:53 DUE TO TIME LIMIT ***
