ABC command line: "read /home/andrew/rust-formal-verification/tests/examples/hwmcc20/2019/mann/data-integrity/unsafe/circular_pointer_top_w16_d64_e0_zero_then_fold2.aig ; pdr -v".

VarMax = 300. FrameMax = 10000. QueMax = 0. TimeMax = 0. MonoCNF = no. SkipGen = no. SolveAll = no.
Frame Clauses                                                     Max Queue Flops Cex      Time
  1 : 0 8                                                                 1     8      0.01 sec
  2 : 0 11 58                                                             2    59      0.04 sec
  3 : 0 6 46 112                                                          3    75      0.13 sec
  4 : 0 6 45 139 195                                                      4    91      0.34 sec
  5 : 0 6 46 108 255 311                                                  5   107      0.72 sec
  6 : 0 6 46 103 191 473 432                                              7   129      1.44 sec
  7 : 0 6 46 103 188 300 546 443                                          6   145      2.23 sec
  8 : 0 6 46 103 187 296 480 1093 958                                    12   161      4.82 sec
  9 : 0 6 46 103 186 287 479 960 1437 995                                12   176      7.84 sec
 10 : 0 6 46 104 187 287 468 799 1156 2208 1714                          14   192     14.47 sec
 11 : 0 6 46 104 187 288 470 799 1090 1761 2563 1355                     20   208     20.67 sec
 12 : 0 6 46 104 187 287 467 709 967 1713 2051 2752 1652                 17   224     29.73 sec
 13 : 0 6 46 104 187 287 467 708 933 1736 2058 2704 3796 2479            23   240     47.15 sec
 14 : ... 6 46 104 187 287 467 708 929 1654 1910 2358 2984 4257 2317     34   256     62.92 sec
 15 : ... 104 187 287 467 708 929 1654 1912 2208 2309 2683 4133 2500     26   272     79.32 sec
 16 : ... 187 287 467 701 934 1661 1916 2009 2285 2502 2982 5436 2935    47   288    104.45 sec
 17 : ... 467 701 930 1595 1935 2076 2321 2565 2690 3598 6691 4037      236   303    144.81 sec
 18 : ... 709 943 1649 2062 2141 2519 2570 2735 3330 4860 7905 4979     201   319    205.87 sec
 19 : ... 880 1252 1917 1863 2154 2123 2203 2659 3556 5542 8741 3840     79   335    255.41 sec
 20 : ... 1226 1858 1861 2127 2072 2101 2272 3183 4392 6209 9499 5002    52   351    320.86 sec
 21 : ... 1852 2101 2042 2054 2272 3207 4137 5555 7976 10979 6026       141   367    426.12 sec
 22 : ... 2091 1997 1962 2059 2979 3675 4507 6464 8947 12382 6726        49   383    547.13 sec
slurmstepd-thanos12_2: error: *** JOB 75278 ON thanos12_2 CANCELLED AT 2022-12-27T13:18:55 DUE TO TIME LIMIT ***
