ABC command line: "read /home/andrew/rust-formal-verification/tests/examples/hwmcc20/2019/wolf/2019C/qspiflash_dualflexpress_divthree-p032_zero_then_fold2.aig ; pdr -v".

VarMax = 300. FrameMax = 10000. QueMax = 0. TimeMax = 0. MonoCNF = no. SkipGen = no. SolveAll = no.
Frame Clauses                                                     Max Queue Flops Cex      Time
  1 : 0 34                                                                1    34      0.00 sec
  2 : 0 3 35                                                              3    38      0.00 sec
  3 : 0 2 1 34                                                            0    38      0.01 sec
  4 : 0 7 15 14 40                                                       17    62      0.01 sec
  5 : 0 4 6 7 3 40                                                        0    62      0.01 sec
  6 : 0 4 6 7 11 18 62                                                   14    76      0.03 sec
  7 : 0 4 6 6 10 15 7 57                                                  0    76      0.03 sec
  8 : 0 4 6 6 10 14 7 3 54                                                0    76      0.03 sec
  9 : 0 4 7 15 34 47 49 31 21 111                                        39    82      0.11 sec
 10 : 0 4 6 13 24 24 25 11 8 6 104                                        0    82      0.12 sec
 11 : 0 4 6 13 24 24 25 11 8 8 15 117                                    10    82      0.13 sec
 12 : 0 4 6 12 23 24 25 11 8 7 7 6 114                                    0    82      0.14 sec
 13 : 0 4 6 12 23 24 25 11 8 7 7 6 3 111                                  0    82      0.14 sec
 14 : 0 4 6 12 23 26 69 78 82 111 150 162 175 153 443                   152    87      0.94 sec
 15 : 0 4 6 12 22 22 36 35 33 47 67 34 49 70 95 480                       0    87      1.00 sec
 16 : 0 4 7 15 25 35 71 85 94 156 192 186 290 243 226 140 836           129    94      2.12 sec
 17 : 0 4 7 15 24 28 28 25 16 14 15 15 9 6 21 18 13 397                   7    94      2.16 sec
 18 : 0 4 7 16 27 34 36 38 24 24 22 17 13 6 13 14 15 73 468              22    99      2.33 sec
 19 : 0 4 7 16 27 33 30 25 17 13 13 13 8 4 9 8 5 26 35 398                5    99      2.35 sec
 20 : 0 4 7 16 27 33 30 25 16 13 13 13 8 4 9 8 5 12 12 8 391              1    99      2.37 sec
 21 : 0 4 7 16 27 33 30 25 16 13 13 13 8 4 9 8 5 7 10 8 9 384             2    99      2.39 sec
 22 : 0 4 7 16 27 33 30 25 16 13 13 13 8 4 9 8 5 7 10 8 9 15 391          6    99      2.41 sec
 23 : ... 4 7 16 27 33 30 25 16 13 12 13 8 4 9 8 5 6 11 8 9 10 4 386      3    99      2.43 sec
 24 : ... 4 7 16 27 33 30 25 16 13 12 13 8 4 9 8 5 6 11 8 9 8 1 1 378     0    99      2.44 sec
 25 : ... 7 16 27 33 30 25 16 13 12 13 8 4 9 8 5 6 11 8 9 8 1 1 1 378     1    99      2.46 sec
 26 : ... 16 27 33 30 25 16 13 12 13 8 4 9 8 5 6 11 8 9 8 1 1 1 4 381     9    99      2.47 sec
 27 : ... 27 33 30 25 16 13 12 13 8 4 9 8 5 6 11 8 9 8 1 1 1 1 1 380      0    99      2.49 sec
 28 : ... 33 30 25 16 13 12 13 8 4 9 8 5 6 11 8 9 8 1 1 1 1 1 1 379       0    99      2.50 sec
 29 : ... 33 30 25 16 13 12 13 8 4 9 8 5 6 11 8 9 8 1 1 1 1 1 1 1 384    10    99      2.52 sec
 30 : ... 25 16 13 12 13 8 4 9 8 5 6 11 8 12 11 4 2 4 5 4 1 1 4 401      18    99      2.55 sec
 31 : ... 23 15 13 12 13 8 4 9 6 5 6 11 8 10 9 1 1 3 2 2 2 1 1 1 393      0    99      2.57 sec
 32 : ... 15 13 12 13 8 4 9 6 5 6 11 8 10 9 1 1 3 2 2 2 1 1 1 1 392       0    99      2.58 sec
 33 : ... 8 4 9 6 5 6 12 14 34 42 74 103 103 74 82 78 94 37 8 5 5 501   102   100      3.06 sec
 34 : ... 13 13 8 4 9 6 5 6 7 9 8 14 10 15 7 10 8 9 8 6 1 1 1 4 480      17   100      3.11 sec
 35 : ... 13 13 8 4 9 6 5 4 7 9 8 14 10 15 6 5 4 5 8 6 1 1 1 1 1 484      0   100      3.13 sec
 36 : ... 13 8 4 9 6 5 4 7 9 7 13 10 15 6 5 4 5 8 6 1 1 1 1 1 1 483       0   100      3.15 sec
 37 : ... 16 19 31 36 102 115 193 240 282 241 218 191 162 36 11 7 758   238   100      4.79 sec
 38 : ... 5 8 9 7 11 6 5 5 16 24 42 39 83 57 48 48 40 34 22 11 10 667    72   100      5.13 sec
 39 : ... 9 7 5 8 9 7 11 6 5 5 14 12 13 3 13 22 25 12 4 2 1 1 3 2 531     1   100      5.17 sec
 40 : ... 7 5 8 9 7 11 6 5 5 13 12 13 3 11 21 25 12 4 2 1 1 4 5 8 534    13   100      5.20 sec
 41 : ... 12 8 12 7 5 5 15 14 14 5 20 30 32 18 11 6 1 1 4 4 4 7 581      39   100      5.31 sec
 42 : ... 10 8 12 7 5 5 14 13 11 2 10 29 33 11 5 5 5 4 6 6 5 5 8 589     18   100      5.40 sec
 43 : ... 10 8 12 7 5 5 14 13 11 2 3 17 20 4 1 1 1 1 3 3 2 2 5 5 516     16   100      5.43 sec
 44 : ... 8 12 7 5 5 14 13 11 2 3 17 20 4 1 1 1 1 3 3 2 2 2 2 5 518       9   100      5.46 sec
 45 : ... 8 12 7 5 5 14 13 11 2 3 17 20 4 1 1 1 1 3 3 2 2 2 2 2 2 518     0   100      5.48 sec
 46 : ... 12 7 5 5 14 13 11 2 3 17 20 4 1 1 1 1 3 3 2 2 2 2 2 2 5 523    16   100      5.51 sec
 47 : ... 7 5 5 14 13 11 2 3 17 20 4 1 1 1 1 4 5 4 6 5 7 6 6 5 3 541     15   100      5.56 sec
 48 : ... 5 5 14 13 11 2 3 17 20 4 1 1 1 1 3 2 2 2 2 2 2 3 3 3 3 532      0   100      5.58 sec
 49 : ... 218 172 214 215 219 181 173 172 172 162 175 156 161 155 994   219   100      8.52 sec
 50 : ... 13 10 6 4 14 13 4 12 20 14 6 4 1 1 1 1 1 1 2 3 4 3 2 5 574     12   100      8.56 sec
