ABC command line: "read /home/andrew/rust-formal-verification/tests/examples/hwmcc20/2019/wolf/2019C/qspiflash_dualflexpress_divthree-p151_zero_then_fold2.aig ; pdr -v".

VarMax = 300. FrameMax = 10000. QueMax = 0. TimeMax = 0. MonoCNF = no. SkipGen = no. SolveAll = no.
Frame Clauses                                                     Max Queue Flops Cex      Time
  1 : 0 1                                                                 1     1      0.00 sec
  2 : 0 3 2                                                               3     5      0.00 sec
  3 : 0 2 1 1                                                             0     5      0.00 sec
  4 : 0 6 15 25 19                                                       18    30      0.01 sec
  5 : 0 4 8 14 9 10                                                       0    30      0.01 sec
  6 : 0 4 8 14 11 8 23                                                    6    37      0.02 sec
  7 : 0 4 8 14 11 5 4 18                                                  0    37      0.02 sec
  8 : 0 4 8 14 11 5 4 3 15                                                0    37      0.02 sec
  9 : 0 5 10 19 26 42 43 51 29 84                                        36    57      0.14 sec
 10 : 0 5 10 19 23 25 30 35 19 20 72                                      2    57      0.15 sec
 11 : 0 5 10 19 23 24 30 34 18 19 11 61                                   0    57      0.15 sec
 12 : 0 5 10 19 23 27 32 51 49 55 52 61 148                              48    58      0.33 sec
 13 : 0 5 12 22 35 72 69 83 113 179 142 142 112 324                     100    60      0.82 sec
 14 : 0 3 10 17 20 32 16 14 54 79 56 44 30 66 240                        11    60      0.86 sec
 15 : 0 3 10 17 20 32 16 13 54 80 55 43 33 56 58 191                     16    60      0.90 sec
 16 : 0 3 10 17 20 32 16 12 54 77 55 39 33 51 53 56 136                   0    60      0.93 sec
 17 : 0 3 10 17 20 32 16 12 54 77 55 39 33 51 53 56 20 116                0    60      0.95 sec
 18 : ... 18 33 58 41 47 101 162 171 154 158 212 240 288 309 231 310    171    68      2.03 sec
 19 : 0 3 11 12 32 35 22 22 37 46 50 59 54 47 57 59 96 74 51 363          0    68      2.11 sec
 20 : ... 3 11 12 32 35 22 22 37 45 50 59 54 47 55 59 96 72 51 98 265     0    68      2.16 sec
 21 : ... 12 32 35 22 22 37 45 50 59 54 47 55 59 96 72 51 98 98 167       0    68      2.20 sec
 22 : ... 32 35 22 22 37 45 50 59 54 47 55 59 96 72 51 98 98 36 131       0    68      2.25 sec
 23 : ... 35 22 22 37 45 50 59 54 47 55 59 96 72 51 102 102 45 9 131     19    68      2.30 sec
 24 : ... 22 22 37 45 50 59 54 47 55 59 96 72 51 101 100 37 6 2 132       0    68      2.34 sec
 25 : ... 22 22 37 45 50 59 54 47 55 59 96 72 51 101 100 37 6 2 3 129     0    68      2.38 sec
 26 : ... 155 174 181 211 262 245 241 314 409 551 638 662 581 477 475   497   103      6.69 sec
 27 : ... 73 67 49 78 118 75 168 139 201 240 315 310 331 334 238 502      0   103      7.16 sec
 28 : ... 66 49 78 117 72 168 139 197 235 307 305 326 331 237 154 348     0   103      7.38 sec
 29 : ... 123 171 143 239 238 320 386 504 586 719 790 630 532 425 679   279   106     10.57 sec
 30 : ... 72 91 66 84 84 139 132 198 153 270 337 333 349 250 244 562      0   106     10.99 sec
 31 : ... 91 66 83 79 137 130 198 152 270 334 332 347 249 243 154 407     0   106     11.22 sec
 32 : ... 66 83 79 137 130 198 152 270 334 332 347 249 243 154 30 377     0   106     11.43 sec
 33 : ... 83 79 137 130 198 152 270 334 332 347 249 243 154 30 22 355     0   106     11.64 sec
 34 : ... 79 137 130 198 152 270 334 332 347 249 243 154 30 22 14 340     0   106     11.85 sec
 35 : ... 137 130 198 152 270 334 332 347 249 243 154 30 22 14 12 328     0   106     12.06 sec
 36 : ... 130 198 152 270 334 332 347 249 243 154 30 22 14 12 2 326       0   106     12.27 sec
 37 : ... 130 198 152 270 334 332 347 249 243 154 30 22 14 12 2 2 324     0   106     12.48 sec
 38 : ... 336 353 418 455 557 631 583 597 571 443 518 548 462 1062      372   106     18.23 sec
 39 : ... 333 321 326 292 310 278 318 278 203 235 274 270 219 186 954     0   106     18.95 sec
 40 : ... 321 325 290 306 273 314 275 202 232 265 262 214 180 145 809     0   106     19.40 sec
 41 : ... 325 290 306 273 314 275 202 232 265 262 214 179 145 40 769      0   106     19.81 sec
 42 : ... 290 306 273 316 280 205 235 272 269 222 190 152 52 51 745      32   106     20.29 sec
 43 : ... 306 273 314 276 205 234 265 268 218 188 152 44 44 28 719        0   106     20.71 sec
 44 : ... 306 273 314 276 205 234 265 268 218 188 152 44 44 28 8 711      0   106     21.12 sec
